key,en_US,ja,es,en_GB,pl,ru,lv,eo
I18N_LOCALE_NAME,English (United States),日本語,español latino,English (United Kingdom),Polska,русский,Latviešu,Esperanto
I18N_MENU,Menu,メニュー,Menú,,,Меню,Izvēnle,
I18N_GAME_NAME,MalBots Begone!,マルボッツを退治せよ!,"¡MalBots, Fuera!",,"ZłośBoty, Precz!","ВредБоты, Прочь!","ĻaunBoti, Projām!","FiBotoj, For!"
I18N_DEMO,Public Beta,公開ベータ,,,,,,
I18N_START,[b]Tap the screen[/b] or [b]press A[/b] to start!,[b]スクリーンをタップ[/b]するか、[b]Aボタンを押す[/b]と、始まるよ！,[b]Toca la pantalla[/b] o [b]pulsa A[/b] para empezar!,,,[b]Нажмите по экрану[/b] или [b]нажмите A[/b] чтобы начать!,"[b]Pieskarieties ekrānam[/b] vai [b]nospiediet A[/b], lai sāktu!",[b]Tuŝu la ekranon[/b] aŭ [b]premu A[/b] por komencigi!
I18N_STORY,Story mode,ストーリーモード,Modo de campaña,,,Исторический режим,Stāstu režīms,Aventura reĝimo
I18N_ARCADE,Arcade mode,アーケードモード,Modo arcade,,,Аркадный режим,Arkādes režīms,Videoludeja reĝimo
I18N_TUTORIAL,Tutorial,チュートリアル,,,,Туториал,Pamācība,
I18N_EDITOR,Level editor,レベルエディター,Editor de niveles,,,Редактор уровней,Līmeņa redaktors,Nivelredaktilo
I18N_READY_ASK,Ready?,準備OK?,¿Listo?,,Gotowy?,Готовы?,Gatavs?,Preta?
I18N_READY_YES,OK!,よし！,¡Sí!,,,ДА!,,Jes!
I18N_LEVEL_N,LEVEL %03d,レベル%03d,NIVEL %03d,,,УРОВЕНЬ %03d,,NIVELO %03d
I18N_NEXT,NEXT,つぎ,SIG.,,,ДАЛЕЕ,TĀLĀK,SEKVA
I18N_REST,REST,のこり,QUEDA,,,ШАГОВ,,CETERA
I18N_SCORE,SCORE,とくてん,PUNTAJE,,,СЧЁТ,REZULTĀTS,POENTARO
I18N_TIME,TIME,じかん,TIEMPO,,,ВРЕМЯ,LAIKS,TEMPO
I18N_CHAIN_BEFORE,N/A,N/A,¡CASCADA DE,,,N/A,,N/A
I18N_CHAIN_AFTER,CASCADE!,連鎖!,!,,,КАСКАД!,,-STRIO!
I18N_CLEAR,STAGE CLEARED!,ステージ\nクリア！,¡NIVEL SUPERADO!,,,ЭТАП ОЧИЩЕН!,,FAZO TRAPASITA!
I18N_FAIL,GAME OVER,ゲーム\nオーバー,JUEGO TERMINADO,,PRZEGRANA,ИГРА ОКОНЧЕНА,SPĒLE BEIGUSIES,LUDO FINITA
I18N_ALLCLEAR,WIPEOUT!,全消し！,¡TABLERO VACÍO!,,,СТЁРТО!,,
I18N_BONUS,BONUS!,ボーナス！,¡BONIFICACIÓN!,,,БОНУС!,BONUSS!,BONIFIKO!
I18N_OBJECTIVE,Mission: “%s”,ミッション【%s】,Misión: «%s»,,,Миссия: “%s”,Missija: “%s”,Misio: «%s»
I18N_COLOR_0,gray,灰色の,grises,grey,,серых,pelēkos,grizajn
I18N_COLOR_1,red,赤い,rojos,,,красных,sarkanos,ruĝajn
I18N_COLOR_2,yellow,黄色い,amarillos,,,жёлтых,dzeltenos,flavajn
I18N_COLOR_3,green,緑色の,verdes,,,зелёных,zaļos,verdajn
I18N_COLOR_4,blue,青い,azules,,,синих,zilos,bluajn
I18N_COLOR_5,purple,紫の,morados,,,фиолетовых,violetos,violkolorajn
I18N_COLOR_SEP,", ",と,", ",,,", ",", ",", "
I18N_COLOR_SEP_TWO, and ,と, y ,,, и , un , kaj 
I18N_COLOR_SEP_LAST,", and ",と, y ,,,", и ",", un ",", kaj "
I18N_TIME_FORMAT,"%02d'%02d""",%02d分%02d秒,,,,%02dм %02dс,%02dm %02ds,
I18N_OBJECTIVE_ZEN,[b]Chill![/b],[b]無し！[/b],,,,[b]Расслабляйтесь![/b],,[b]Ripozu![/b]
I18N_OBJECTIVE_SURVIVE,[b]Survive![/b],[b]生き延びろ！[/b],[b]¡Sobrevive![/b],,,[b]Выживайте![/b],,[b]Transvivu![/b]
I18N_OBJECTIVE_SURVIVE_TIME,Survive for [b]{0}[/b]!,[b]{0}間[/b]生き延びろ！,¡Sobrevive por [b]{0}[/b]!,,,Выживите [b]{0}[/b]!,,Transvivu dum [b]{0}[/b]!
I18N_OBJECTIVE_ENEMY,Defeat [b]all MalBots[/b]!,[b]マルボッツを全滅[/b]させろ！,¡Derrota a [b]todos los MalBots[/b]!,,,Одолейте [b]всех ВредБотов[/b]!,,Venku [b]ĉiujn FiBotojn[/b]!
I18N_OBJECTIVE_ENEMY_COUNT,Defeat [b]{0} MalBots[/b]!,[b]マルボッツを{0}体[/b]倒せ！,¡Derrota a [b]{0} MalBots[/b]!,,,Одолейте [b]{0} ВредБотов[/b]!,,Venku [b]{0} FiBotojn[/b]!
I18N_OBJECTIVE_ENEMY_COLOR,Defeat [b]all {0} MalBots[/b]!,[b]{0}マルボッツを全滅[/b]させろ！,¡Derrota a [b]todos los MalBots {0}[/b]!,,,Одолейте [b]всех {0} ВредБотов[/b]!,,Venku [b]ĉiujn {0} FiBotojn[/b]!
I18N_OBJECTIVE_ENEMY_COLOR_COUNT,Defeat [b]{0} {1} MalBots[/b]!,[b]{1}マルボッツを{0}体[/b]倒せ！,¡Derrota a [b]{0} MalBots {1}[/b]!,,,Одолейте [b]{0} {1} ВредБотов[/b]!,,Venku [b]{0} {1} FiBotojn[/b]!
I18N_OBJECTIVE_BLOCK,Erase [b]all Blocks[/b]!,[b]ブロックを全部[/b]消せ！,¡Borra [b]todos los bloques[/b]!,,,Сотрите [b]все блоки[/b]!,,Forigu [b]ĉiujn Blokojn[/b]!
I18N_OBJECTIVE_BLOCK_COUNT,Erase [b]{0} Blocks[/b]!,[b]ブロックを{0}個[/b]消せ！,¡Borra [b]{0} bloques[/b]!,,,Сотрите [b]{0} блоки[/b]!,,Forigu [b]{0} Blokojn[/b]!
I18N_OBJECTIVE_BLOCK_COLOR,Erase [b]all {0} Blocks[/b]!,[b]{0}ブロックを全部[/b]消せ！,¡Borra [b]todos los bloques {0}[/b]!,,,Сотрите [b]все {0} блоки[/b]!,,Forigu [b]ĉiujn {0} Blokojn[/b]!
I18N_OBJECTIVE_BLOCK_COLOR_COUNT,Erase [b]{0} {1} Blocks[/b]!,[b]{1}ブロックを{0}個[/b]消せ！,¡Borra [b]{0} bloques {1}[/b]!,,,Сотрите [b]{0} {1} блоки[/b]!,,Forigu [b]{0} {1} Blokojn[/b]!
I18N_OBJECTIVE_CHAIN_COUNT,Cause a [b]{0}-Cascade[/b] or longer!,[b]{0}連鎖[/b]以上を起こせ！,,,,Сделайте [b]{0}-КАСКАД[/b] или больше!,,Kaŭzu [b]{0}-Strion[/b] aŭ pli longan!
I18N_OBJECTIVE_CHAIN_EXACT,Cause [b]exactly a {0}-Cascade[/b]!,[b]ちょうど{0}連鎖[/b]を起こせ！,,,,Сделайте [b]только {0}-КАСКАД[/b]!,,Kaŭzu [b]precize {0}-Strion[/b]!
I18N_OBJECTIVE_HIGH_SCORE,[b]Score[/b] {0} points or more!,{0}点以上[b]得点[/b]しろ！,¡Consigue [b]{0} puntos[/b] o más!,,,[b]Наберите[/b] {0} очков или больше!,,[b]Atingu[/b] {0} poentojn aŭ pli!
I18N_OBJECTIVE_COLORS,Erase {0} [b]colors[/b] of blocks at once!,{0}[b]色[/b]のブロックを同時に消せ！,¡Borra [b]{0} colores[/b] de bloques en un solo golpe!,Erase {0} [b]colours[/b] of blocks at once!,,Сотрите {0} [b]цвета[/b] блоков за раз!,,Forigu Blokojn kun {0} [b]koloroj[/b] samtempe!
I18N_OBJECTIVE_PLACEHOLDER_NUMBER,[VALUE],〈数〉,[VALOR],,,[ЗНАЧЕНИЕ],,[VALORO]
I18N_OBJECTIVE_PLACEHOLDER_COLOR,[COLOR(S)],〈色〉,[COLOR(ES)],[COLOUR(S)],,[ЦВЕТ(А)],,[KOLORO(J)]
I18N_OBJECTIVE_PLACEHOLDER_TIME,[TIME],〈時間〉,[TIEMPO],,,[ВРЕМЯ],,[TEMPO]
I18N_TUTORIAL_BASIC00,"You can move the domino left and right, and make it fall faster.",牌は左右に動かしたり、速く落としたりできます。,,,,"Вы можете перемещать домино влево и вправо, чтобы оно падало быстрее.",,
I18N_TUTORIAL_BASIC01,Press the ← and → keys or buttons to move. Press the ↓ key or button to speed up the fall.,左右キー・ボタンで左右に動かせます。下キー・ボタンで速く落とせます。,,,,"Нажмите клавиши или кнопки ← и → для перемещения. Нажмите клавишу или кнопку ↓, чтобы ускорить падение.",,
I18N_TUTORIAL_BASIC02,Drag left or right to move. Drag down and hold to speed up the fall.,画面を左右にスワイプして左右に移動できます。下にスワイプしたまま長押しして速く落とせます。,,,,"Перетащите влево или вправо для перемещения. Перетащите вниз и удерживайте, чтобы ускорить падение.",,
I18N_TUTORIAL_BASIC03,Connect 4 blocks of the same color to clear them.\nMove this first domino to the other green blocks!,[b]ブロック[/b]は、同じ色を4つ以上つなげると消せます。\n早速、この牌を緑のブロックまで動かしましょう！,,,,"Соедините 4 блока одного цвета, чтобы очистить их.\nПереместите первое домино к другим зеленым блокам!",,
I18N_TUTORIAL_BASIC10,You can rotate the domino in either direction.,牌は左右に回転もできます。,,,,Домино можно вращать в любом направлении.,,
I18N_TUTORIAL_BASIC11,"Use the left and right rotate keys or buttons to rotate. (Default: ZX keys, AB buttons)",左右の回転キー・ボタンで回転できます。（既定： ZXキー、ABボタン）,,,,"Для поворота используйте клавиши или кнопки поворота влево и вправо. (По умолчанию: клавиши ZX, кнопки AB)",,
I18N_TUTORIAL_BASIC12,How can you erase both the yellow and blue blocks?,黄色と青のブロックを両方消す方法は…？,,,,Как можно стереть желтые и синие блоки?,,
I18N_TUTORIAL_BASIC20,"Even if you're stuck in a narrow place, you can press either rotate button twice to swap the pieces.",狭いところに挟まっている牌も、回転ボタンを2回続けて押したら、180度回転できます。,,,,"Даже если вы застряли в узком месте, вы можете дважды нажать любую кнопку поворота, чтобы поменять фигуры местами.",,
I18N_TUTORIAL_BASIC21,Try it out here! Erase the purple blocks to finish.,やってみましょう！ 紫のブロックを消したら終了です。,,,,"Попробуйте это здесь! Сотрите фиолетовые блоки, чтобы покончить с этим.",,
I18N_TUTORIAL_INTRO1,Connect 4 [b]blocks[/b] of the same color to clear them.,[b]ブロック[/b]は、同じ色を4つ以上つなげると消せます。,Conecta 4 [b]bloques[/b] del mismo color para borrarlos.,Connect 4 [b]blocks[/b] of the same colour to clear them.,,"Соедините 4 [b]блока[/b] одного цвета, чтобы очистить их.",,
I18N_TUTORIAL_INTRO2,Defeat [b]MalBots[/b] by clearing blocks of their color next to them.,[b]マルボッツ[/b]を倒すには、隣べ同じ色のブロックを消しましょう。,"Elimina los [b]MalBots[/b], juntando bloques de su mismo color al lado de ellos. ",Defeat [b]MalBots[/b] by clearing blocks of their colour next to them.,,"Одолейте [b]ВредБотов[/b], очистив блоки их цвета рядом с ними.",,
I18N_TUTORIAL_INTRO3,[b]Gray MalBots[/b] can be defeated by blocks of any color.,[b]灰色のマルボッツ[/b]は、どの色のブロックでも倒せます。,Los [b]MalBots grises[/b] se pueden eliminar con Bloques de cualquier color.,[b]Grey MalBots[/b] can be defeated by blocks of any colour.,,[b]Серые ВредБоты[/b] могут быть одолены блоками любого цвета.,,
I18N_TUTORIAL_INTRO4,Defeat [b]all[/b] MalBots to win!,マルボッツを[b]全滅[/b]させれば成功です！,¡Elimina todos los MalBots para ganar!,,,Одолейте [b]всех[/b] ВредБотов чтобы выйграть!,,
I18N_TUTORIAL_NUMBER1,This is a [b]Multi-Hit MalBot[/b]. ,これは[b]しぶといマルボッツ[/b]です。,Esto es un [b]MalBot Multigolpe[/b]. ,,,Это [b]Удаленький ВредБот[/b]. ,,
I18N_TUTORIAL_NUMBER2,"It has more Hit Points than a normal MalBot, so it needs multiple hits to defeat.",普通のマルボッツよりHP（体力）が多いので、それだけ多くダメージを与えないと倒せません。,Tiene más Puntos de Vida que un MalBot normal; así que tienes que dañarlo más para eliminarlo.,,,"У него больше Удар Очков, чем у обычного ВредБота, поэтому для победы над ним требуется несколько ударов.",,
I18N_TUTORIAL_NUMBER3,A MalBot loses 1 HP for [b]every block directly next to it[/b].,マルボッツは、[b]隣り合うブロック一個につき[/b]1ダメージを受けます。,Un MalBot pierde 1 PV por [b]lado tocando un bloque correcto[/b].,,,ВредБот теряет 1 ХП за [b]каждый блок рядом с ним[/b].,,
I18N_TUTORIAL_NUMBER4,Clear the purple blocks to deal 3 damage to the purple MalBot!,ここで紫のブロックを消せば、紫のマルボッツに3ダメージを与えられますよ！,¡Borra los bloques morados para dar 3 unidades de daño al MalBot morado!,,,"Очистите фиолетовые блоки, чтобы нанести 3 повреждения фиолетовому ВредБоту!",,
I18N_TUTORIAL_NUMBER5,There is another way to increase the amount of damage given to MalBots...,マルボッツに与えるダメージを増やす方法は、もう一つあります・・・,Hay otra manera de aumentar el daño a un MalBot...,,,"Есть еще один способ увеличить количество урона, наносимого ВредБоту...",,
I18N_TUTORIAL_CHAIN1,"By clearing these red blocks, you can cause a [b]Cascade[/b]!",ここで赤いブロックを消せば、[b]連鎖[/b]が起きます！,,,,"Убирая эти красные блоки, вы можете сделать [b]Каскад[/b]!",,
I18N_TUTORIAL_CHAIN2,A longer Cascade [b]multiplies the damage[/b] dealt to MalBots.,連鎖が長ければ長いほど、[b]ダメージの倍率が上がります。[/b],,,,"Более длинный Каскад [b]увеличивает урон[/b], наносимый ВредБотам.",,
I18N_TUTORIAL_CHAIN_DIY1,Now it’s time to [b]build your own 3-Cascade![/b],次は、自分で[b]3連鎖を組んで[/b]みましょう！,,,,Теперь настало время [b]построить свой собственный 3-Каскад![/b],,
I18N_TUTORIAL_CHAIN_DIY2,You have as much time as you need.,時間制限はありません。,,,,"У вас есть столько времени, сколько вам нужно.",,
I18N_TUTORIAL_CHAIN_DIY3,"But if you’re stuck, try using Hint Coins.",行き詰ったら、ヒントコインを使ってみましょう。,,,,"Но если вы застряли, попробуйте использовать Подсказ Койн!",,
I18N_HINT,Hint,ヒント,Pista,,,Подсказка,,Indiko
I18N_HINT_CONFIRM,Do you want to spend a [b]Hint Coin[/b] for a hint?,[b]ヒントコイン[/b]を1枚使いますか？,¿Te gustaría gastar una [b]Moneda de Pistas[/b] por una pista?,,,Хотите ли вы потратить [b]Подсказ Койн[/b] на подсказку?,,Ĉu vi volas elspezi unu [b]Indikan Moneron[/b] per ricevi indikon?
I18N_HINT_RUNOUT,You have no Hint Coins left!,ヒントコインがありません！,¡No te queda ni una Moneda de Pistas!,,,"Увы, у вас нет Подсказ Койнов!",,Vi ne havas eĉ unu Indikan Moneron!
I18N_CREDITS,Credits,クレジット,Créditos,,,Титры,,
,hai!touch Studios,,,,,,,
,Lead programmer,主任プログラマー,Programador principal,,,Ведущий программист,,
,Haruki “Haley” Wakamatsu,若松 春希,Haruki «Haley» Wakamatsu,,,,,
,Paying tribute to,これらの前駆作品に敬意を表します,Inspirado por,,,Отдавая дань уважения ,,
,Puyo Puyo,ぷよぷよ,Puyo Puyo,,,,,
,Dr. Mario,Dr. マリオ,Dr. Mario,,,,,
,Mega Man,ロックマン,Mega Man,,,,,
,“Ghost Puzzle” by Hernan Zhou,Hernan Zhou 作アプリ「Ghost Puzzle」,Ghost Puzzle por Hernan Zhou,,,“Ghost Puzzle” от Hernan Zhou,“Ghost Puzzle” no Hernan Zhou,
,Powered by Godot Engine,Godot Engine で駆動,Alimentado por Godot Engine,,,Работает на Godot Engine,,
,Libraries,,,,,Библиотеки,,
,Godot Engine 3.4 is licensed under the MIT license.,,,Godot Engine 3.4 is licensed under the MIT licence.,,Godot Engine 3.4 лицензирован под лицензией MIT.,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
I18N_SETTINGS,Settings,設定,Ajustes,,,Настройки,Iestatījumi,Agordoj
I18N_PAGE_A11Y,Accessibility,バリアフリー,Acesibilidad,,,Возможности,Pieejamība,Alirebleco
I18N_FONT_SIZE,Font size,文字の大きさ,Tamaño de fuente,,,Размер шрифта,Fonta lielums,Tipara grando
I18N_FONT_SIZE_HELP,"If you find the pixelated font too small or hard to read, move this slider from the far left.",ドット文字が小さすぎたり読みにくかったりしたら、つまみを左端から動かしてください。,"Si la fuente pixelada es muy pequeña o ilegible, desliza este control desde el extremo izquierrdo.",,,"Если вы считаете пиксельный шрифт слишком мелким или трудночитаемым, переместите этот ползунок с крайнего левого края.",,
I18N_DISABLE_PARTICLES,Disable particles,パーティクル効果を無くす,Desactivar partículas,,,Отключить частицы,,Malŝalti partiklojn
I18N_DISABLE_PARTICLES_HELP,"If the visual effect of the particles are glitchy or distracting, you can turn them off here.",パーティクル効果の見た目がバグってたり、気が散ったりしたら、ここでOFFにできます。,"Si los efectos visuales con partículas parecen incorrectos o te distraen, puede desactivarlos aquí.",,,"Если визуальный эффект частиц вызывает сбои или отвлекает, вы можете отключить их здесь.",,
I18N_SETUP,First-time setup,初期設定,,,,Настройка в первый раз,,Unua-foja agordo
I18N_PAGE_MAIN,Main,全般,General,,,Основное,Galvenais,Ĉefa
I18N_VOL_BGM,Music volume,音楽の音量,Volumen de música,,,Громкость музыки,Mūzikas skaļums,Muzika laŭteco
I18N_VOL_SFX,Sound effect volume,効果音の音量,Volumen de efectos de sonido,,,Громкость звукового эффекта,Skaņas efekta skaļums,Sonefika laŭteco
I18N_LANGUAGE,Language,言語,Idioma,,Język,Язык,Valoda,Lingvo
I18N_PAGE_CTRL,Controls,操作,Controles,,,Управления,,
I18N_CTRL,Control scheme,操作方法,Esquema de control,,,Схема управления,,
I18N_CTRL_HELP,"Gamepad and keyboard controls will always work, regardless of this option.",この設定にかかわらず、コントローラーとキーボードは常に有効です。,Mandos y teclados siguen a funcionar con cualquiera esquema de control.,,,"Управление с помощью геймпада и клавиатуры будет работать всегда, независимо от этой опции.",,
I18N_CTRL_TOUCH,Use touchscreen buttons,仮想ボタンを使う,Usar botones táctiles,,,Использовтаь кнопки сенсорного экрана,,
I18N_CTRL_GEST,Use gestures,ジェスチャーを使う,Usar gesturas,,,Использовать жесты,,
I18N_SECT_BTN,Button control settings,ボタン操作の設定,Opciones del control con botones,,,Настройки управления кнопками,,
I18N_SECT_GEST,Gesture control settings,ジェスチャー操作の設定,Opciones del control con gesturas,,,Настройки управления жестами,,
I18N_ROT_DELAY,Double-rotation delay,「二重回転」の速さ,Retraso de la rotación doble,,,Задержка двойного поворота,,
I18N_ROT_DELAY_HELP,"If a rotation fails, then you try to rotate again within this amount of time, the Domino will turn 180°.",回転できなかった後、この時間以内にまた回転させようとすると、牌が180度回転します。,"Dentro de esta cantidad de tiempo después una rotación fallida, cuando intentas rotar otra vez, el dominó rotará 180°.",,,"Если вращение не удалось, то при повторной попытке вращения в течение этого времени домино повернется на 180°.",,
I18N_DAS,DAS delay,DAS (横タメが始まるまでの時間),Retraso DAS,,,АпЗ,,
I18N_DAS_HELP,"“Delayed Auto Shift” causes the piece to keep moving sideways after a delay, when Left or Right is held.\nDAS waits for this much time before repeating sideways movement.",「横タメ」(DAS) とは、左か右ボタンを長押しした時、一定の間をおいてから、牌が横に動き続けるシステムの事です。\n長押しと判定される時間を変更します。,"El movimiento automático retrasado (Delayed Auto Shift = DAS) sigue moviendo el dominó con un retraso, cuando se mantenga presionado Izquierda o Derecha.\nDAS espera por esta cantidad de tiempo antes de repetir el movimiento lateral.",,,"“Автопереключение с Задержкой” заставляет фигуру продолжать движение в сторону после задержки, когда удерживается кнопка ""Влево"" или ""Вправо"".\nАпЗ ждет столько времени, прежде чем повторить движение в сторону.",,
I18N_ARR,ARR,ARR (横タメの連打間隔),ARR,,,САп,,
I18N_ARR_HELP,"DAS waits for this much time (the Auto Repeat Rate) before trying to move a piece in the same direction. If set to 0f, pieces instantly move as far as they can go.",左か右ボタンの長押し中に、1マス移動してからまた1マス移動するまでに待つ時間 (ARR) を変更します。0fに設定すると、ぶつかるまで一気に横に動きます。,"DAS espera por esta cantidad de tiempo, la tasa de repetición automática (Auto Repeat Rate = ARR) antes de continuar a mover el dominó otra vez. Si la ARR vale 0 cuadros, el dominó se mueve instantáneamente hasta donde pueda llegar.",,,"АпЗ ждет столько времени (Cкорость Автоповтора), прежде чем попытаться переместить фигуру в том же направлении. Если установлено значение 0f, фигуры мгновенно перемещаются до упора.",,
I18N_ROT_INV,Invert rotation buttons,回転ボタンを逆にする,Invertir botones de rotación,,,Инвертирования кнопки вращения,,
I18N_ROT_INV_HELP,"By default, the ⮋ rotates counterclockwise, and ⮊ rotates clockwise.\nThis does not affect how they behave in the menu.",オフの時、⮋は反時計回りに、⮊は時計回りに回転させます。\nメニューでの配列は変わりません。,"Por defecto, ⮋ gira en sentido antihorario, y ⮊ gira en sentido horario.\nEsto no cambia los controles en el menú.","By default, ⮋ rotates anticlockwise, and ⮊ rotates clockwise.\nThis does not affect how they behave in the menu.",,"По умолчанию ⮋ вращается против часовой стрелки, а ⮊ по часовой.\nЭто не влияет на их поведение в меню.",,
I18N_AB_INV,Invert confirm and cancel buttons,「決定」と「戻る」ボタンを逆にする,Invertir botones de confirmación y cancelación,,,Инвертирования кнопки подтверждения и отмены,,
I18N_AB_INV_HELP,"By default, ⮋ confirms, and ⮊ cancels.",デフォルトでは、決定ボタンは⮋、戻るボタンは⮊です。,"Por defecto, ⮋ confirma, y ⮊ cancela.",,,"По умолчанию ⮋ подтверждает, а ⮊ отменяет.",,
I18N_MOVE_SENS,Move gesture distance,「左右に動かす」ジェスチャーの距離,Distancia de la gestura para movimiento,,,Расстояние жеста перемещения,,
I18N_SOFT_SENS,Fast drop gesture distance,「速く落とす」ジェスチャーの距離,Distancia de la gestura para caída rápida,,,Расстояние жеста быстрого сброса,,
I18N_HARD_SENS,Instant drop gesture distance,「一瞬で落とす」ジェスチャーの距離,Distancia de la gestura para caída instantánea,,,Расстояние жеста мгновенного сброса,,
I18N_KEY_CONFIG,Key config,キーコンフィグ,Configuración del teclado,,,Конфигурация клавиш,,
I18N_KEYBOARD,Keyboard,キーボード,Teclado,,,Клавиатура,,
I18N_GAMEPAD,Controller,コントローラー,Mando,,,Контроллер,,
I18N_PRESS_KEY,Press the key you want to map to “%s”,【%s】に設定したいキーを押してください,Pulsa la tecla que te gustaría asignar a «%s»,,,"Нажмите клавишу, которой вы хотите сменить в “%s”",,
I18N_CANCEL_KEY,Or hold Esc to cancel,または、Esc を長押ししてキャンセル,O mantenga Esc para cancelar,,,"Или удерживайте Esc, чтобы отменить",,
I18N_PRESS_BUTTON,Press the button you want to map to “%s”,【%s】に設定したいボタンを押してください,Pulsa el botón que te gustaría asignar a «%s»,,,"Нажмите кнопку, которой вы хотите сменить в “%s”",,
I18N_AGAIN_KEY,Press %s again to confirm,%sをもう一回押して、確認,Pulsa %s otra vez para confirmar,,,Нажмите %s еще раз для подтверждения,,
I18N_AGAIN_BUTTON,Press %s again to confirm,%sをもう一回押して、確認,Pulsa %s otra vez para confirmar,,,Нажмите %s еще раз для подтверждения,,
I18N_CANCEL_BUTTON,Or hold B to cancel,または、B を長押ししてキャンセル,O mantenga B para cancelar,,,"Или удерживайте B, чтобы отменить",,
I18N_MOVE_LEFT,Move left,左に動かす,Mover a la izquierda,,,Переместить налево,,
I18N_MOVE_RIGHT,Move right,右に動かす,Mover a la derecha,,,Переместить направо,,
I18N_ROTATE_LEFT,Rotate counterclockwise,反時計回りに回す,Rotar antihorario,,,Вращать против часовой стрелки,,
I18N_ROTATE_RIGHT,Rotate clockwise,時計回りに回す,Rotar en sentido horario,,,Вращать по часовой стрелке,,
I18N_SOFT_DROP,Fast drop,速く落とす,Caída rápida,,,Быстрый сброс,,
I18N_HARD_DROP,Instant drop,一瞬で落とす,Caída instantánea,,,Мгновенный сброс,,
I18N_PAUSE,Pause,ポーズ,Pausar,,,Пауза,,
I18N_REMAP,Remap,設定,Asignar,,,Сменить,,
I18N_DELETE,Delete,削除,Borrar,,,Удалить,,
I18N_UNMAPPED,Nothing,設定なし,Nada,,,Ничего,,
I18N_PAGE_SKIN,Skins,着せ替え,Apariencias,,,Скины,,
I18N_SKIN,Skin,着せ替え,Aparicencia,,,Скин,,Haŭto
I18N_SKIN_LOCKED,Locked,未開放,Bloqueado,,,Разблокировано,,Ŝlosita
I18N_SKIN_UNLOCKED,Unlocked,解放済み,Desbloqueado,,,Заблокировано,,Malŝlosita
I18N_SKIN_JellybeanA,Jelly Beans,ジェリービーン,Caramelos de Gelatina,,,Мармеладки,,
I18N_SKIN_JellybeanB,These MalBots are pretty squishy. Don’t be fooled—you can’t hug them!,よく見たら、マルボッツってかわいいよね。でも触ったら大変なことになるよ！,Estes MalBots son muy blandas. No te dejes engañar — ¡no debes abrazarlos!,,,Эти ВредБоты довольно мягкие. Не обманывайтесь — вы не можете их обнять!,,
I18N_SKIN_SlimeA,Slime,スライム,,,,Cлизняки,,
I18N_SKIN_SlimeB,"Say, don't these blobby, gel-like lifeforms look kind of familiar? (Disclaimer: This game is not in any capacity legally affiliated with the series this skin references.)",このスライムの塊のような生命体って、どこかで見たことがあるような・・・（※免責事項： このゲームと、この着せ替えがオマージュするシリーズとの法的な関係は全くありません。）,,,,"Скажите, не кажутся ли вам знакомыми эти сгустки желеобразных форм жизни? ( Дисклеймер: Эта игра никак юридически не связана с серией, на которую ссылается этот скин).",,
I18N_SKIN_Gen2A,Generation 2,第2世代,2.ª Generación,,,2-ое поколение,,
I18N_SKIN_Gen2B,Slot in your game cartridge! Our controller is a joystick and our GPU is our imagination.,ゲームカートリッジを挿入して！ コントローラーはレバー型、GPUは想像力。,¡Inserte tu cartucho de juego! Nuestro mando es un joystick y nuestro GPU es la imaginación.,,,"Вставьте свой игровой картридж! Наш контроллер - это джойстик, а наш графический процессор - это наше воображение.",,
I18N_SKIN_Gen3A,Generation 3,第3世代,3.ª Generación,,,3-ее поколение,,
I18N_SKIN_Gen3B,"Feel the 8-bit breeze of the mid-80s, when the NES made countless childhoods.",80年代半ばに子供時代をピコピコ彩った、8BITの風を感じよう。,"Siente la brisa de la mitad de los años ochenta, cuando el Nintendo iluminó muchas infancias.",,,"Почувствуйте 8-битный бриз середины 80-ых, когда NES подарила бесчисленное количество счастливых эмоций в детстве.",,
I18N_SKIN_Gen4A,Generation 4,第4世代,4.ª Generación,,,4-ое поколение,,
